STA_SEQ,Station_Name,Proximity_Landmark,YLat,XLong
14126,Aspetuck River,Downstream Bayberry Lane,41.1864,-73.3429
14127,Bantam River,upstream Morris Hill Road/Stoddard Road,41.7122,-73.2457
14128,Bantam River,downstream Smokey Hollow Road,41.6884,-73.2668
14129,Beacon Hill Brook,at Andrasko Road,41.4684,-73.0501
14130,Beaver Pond Brook,upstream Harper Ferry Road,41.5393,-73.0077
14131,Belcher Brook,upstream Elizabeth Road,41.5932,-72.7662
14132,Blackberry River,upstream Route 44 Bridge,42.0236,-73.341
14133,Blackberry River,upstream POTW effluent,42.0007,-73.2184
14134,Blackberry River,downstream 50ft POTW effluent,42.0009,-73.2193
14135,Blackberry River,downstream 75ft POTW effluent,42.0009,-73.2196
14136,Blackberry River,downstream 200ft POTW effluent,42.0012,-73.2204
14137,Blackledge River,US Confluence with Lyman Brook,41.6084,-72.4263
14138,Bladens River (Bladdens River),under Route 8 & Route 67 junction,41.3972,-73.0718
14139,Bladens River (Bladdens River),downstream North Road/Pearl St.,41.3958,-73.0608
14140,Bolton Notch Pond,In Bolton Notch Pond,41.7894,-72.4525
14141,Bonemill Brook,upstream 100 m Sweetheart Lake,41.9249,-72.3162
14142,Bonemill Brook,between Plains Road and RR crossing,41.9272,-72.3069
14143,Branch Brook,upstream Route 8 pipe,41.648,-73.0822
14144,Branch Brook,downstream Route 8 pipe,41.6478,-73.0814
14145,Branch Brook,downstream POTW near mouth,41.6434,-73.081
14146,Branford River,downstream bridge off Valley Road,41.3072,-72.7648
14147,Broad Brook,upstream USGS gage at Route 191,41.9147,-72.549
14148,Bunnell Brook,upstream 500 meters USGS gage,41.7846,-72.9657
14149,Byram River,downstream Bedford Road,41.094506,-73.704449
14150,Byram River,downstream Comley Avenue,41.0276,-73.6621
14151,Cedar Swamp Brook,upstream Porter Pond Road,41.6731,-71.8274
14152,Clarke Brook,adjacent Route 195,41.8447,-72.3248
14153,Coginchaug River,downstream Route 66,41.5547,-72.6737
14154,Community Lake,upstream Hall Avenue,41.4625,-72.8302
14155,Compounce Mountain Brook,at end of Dirt road for reservoir access,41.6206,-72.9353
14156,Comstock Brook,upstream wooden footbridge in town park,41.1961,-73.4354
14157,Cooper Pond Brook,downstream plaza entrance bridge,41.2677,-73.4422
14158,Coppermine Brook,upstream West Washington Street,41.6777,-72.9077
14159,Copps Brook,downstream Mystic Reservoir (Palmer Reservoir),41.3645,-71.9351
14160,Copps Brook,in effluent channel upstream of Copps Brook confluence (jerry brown road),41.3649,-71.9344
14161,Copps Brook,downstream effluent channel,41.3641,-71.9347
14162,Copps Brook,upstream second driveway upstream of Quiambog Cove,41.3611,-71.9341
14163,Copps Brook tributary to,downstream Mistuxet Road and Cove Road intersection,41.3615,-71.9369
14164,Copps Brook,upstream of first driveway off Cove Road Just above Quiambog Cove,41.3571,-71.9363
14165,Crooked Brook,downstream Orchard Road,41.595,-72.7791
14166,Deep Brook,upstream RR bridge,41.404,-73.294
14167,Deep Brook,opposite upper POTW,41.4081,-73.2865
14168,Deep Brook,downstream bridge crossing at former stp outfall,41.4096,-73.2855
14169,Deep Brook,downstream opposite from effluent,41.4096,-73.2855
14170,Deep Brook,downstream outfall,41.4101,-73.2851
14171,Deep Brook,upstream tributary,41.4115,-73.2848
14172,Deep Brook,upstream mouth near Pootatuck River,41.4131,-73.2823
14173,Dickinson Creek,at dirt road off Islieb Street,41.6642,-72.4843
14174,East Branch Eightmile River,100 meters upstream Mouth downstream Route 156,41.4309,-72.3375
14175,East Branch Naugatuck River,adjacent to Newfield Road at old RR tressel,41.8203,-73.1232
14176,East Branch Naugatuck River,upstream Route 4,41.8122,-73.1221
14177,East Branch Naugatuck River,downstream Main Street,41.8107,-73.1216
14178,East Branch Naugatuck River,upstream East Pearl Street,41.8061,-73.1184
14179,East Branch Naugatuck River,downstream Franklin Drive,41.797345,-73.115842
14180,Crystal Lake,at deepest part of lake,41.524,-72.639
14181,East Aspetuck River,upstream Waramug treatment plant off Flirtation Ave,41.6823,-73.3539
14182,East Aspetuck River,downstream Waramug treatment plant off Flirtation Ave,41.6817,-73.354
14183,East Aspetuck River,upstream Wellsville Road,41.5979,-73.4152
14184,East Swamp Brook,downstream Plumtrees Road,41.3859,-73.3984
14185,Echo Lake Brook,upstream Echo Lake,41.6046,-73.0971
14186,Eightmile Brook,upstream Loughlin Road,41.3885,-73.1648
14187,Eightmile River,downstream Route 156 upstream confluence,41.4312,-72.3376
14188,Eightmile River,downstream Marion Avenue,41.588,-72.8977
14189,Eightmile River,downstream Jude Lane,41.6066,-72.9042
14190,Eightmile River,downstream Welch Road,41.6334,-72.9176
14191,Factory Brook,upstream R.R. crossing,41.9639,-73.4396
14192,Factory Brook,downstream 50-350 feet discharge POTW,41.967,-73.4264
14193,Farm River,downstream Route 22 at Masonic Temple,41.3818,-72.7941
14194,Farm River,downstream Totoket Road,41.3331,-72.8153
14195,Farmill River,upstream Route 110,41.2591,-73.0979
14196,Farmill River,downstream Route 8 at old bridge,41.273,-73.1129
14197,FARMINGTON RIVER,adjacent Route 4 at Apricots Restaurant,41.7508,-72.8717
14198,FARMINGTON RIVER,upstream Old Farms Road,41.7723,-72.822
14199,Fenton River,adjacent Daleville Road,41.863,-72.2402
14200,Fenton River,downstream Route 44,41.8727,-72.2416
14201,Five Mile River,downstream Lakeview Avenue,41.1418,-73.4833
14202,Five Mile River,under Old Norwalk Road,41.1365,-73.4793
14203,Five Mile River,upstream East Street (Route 106),41.1478,-73.4835
14204,Fivemile River,downstream Route 101,41.846,-71.8902
14205,Fivemile River,downstream 500 meters Route 101,41.8451,-71.8912
14206,French River,adjacent Route 12,41.9548,-71.884
14207,French River,upstream Langers Pond,42.0248,-71.8843
14208,French River,at RR bridge adjacent to Reardon Road,41.9735,-71.8998
14209,Fulling Mill Brook,upstream North Main Street,41.5021,-73.0471
14210,Fulling Mill Brook,downstream Maple Hill Road,41.5048,-73.0232
14211,Fulling Mill Brook,upstream Maple Hill Road,41.5048,-73.0222
14212,Fulling Mill Brook,across Spring Lake Road (Union City Road) & Route 68,41.5056,-73.0315
